"authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","videoId","textDisplay","textOriginal","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"Mario Morfin","https://yt3.ggpht.com/-dhdwkWk1MK8/AAAAAAAAAAI/AAAAAAAAAAA/BdKeO6_paTU/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCzNf8Hlz529HfMR24oFWF6g","UCzNf8Hlz529HfMR24oFWF6g","jf0ZtZ8CVkk","I got an starbucks ad before watching this","I got an starbucks ad before watching this","TRUE","none","2","2019-03-08T21:24:40.000Z","2019-03-08T21:24:40.000Z","UgwPWrjC1rbEfa4dM294AaABAg",NA,NA
"KARACHI FOODS REVIEWS","https://yt3.ggpht.com/-cCP74FfjI-o/AAAAAAAAAAI/AAAAAAAAAAA/3YPHl75Pr4o/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCHe2_ktqfJPzEkRV_zf4ZdA","UCHe2_ktqfJPzEkRV_zf4ZdA","jf0ZtZ8CVkk","wow Nice","wow Nice","TRUE","none","0","2019-03-08T21:20:41.000Z","2019-03-08T21:20:41.000Z","UgxtW6VzBmmHJzxFrrR4AaABAg",NA,NA
"Hana on Ice","https://yt3.ggpht.com/-__oMG2gTNPc/AAAAAAAAAAI/AAAAAAAAAAA/un1YT6Sefzg/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UClQv1-qiDhOjgdlZAlB6Czw","UClQv1-qiDhOjgdlZAlB6Czw","jf0ZtZ8CVkk","I&#39;m so ashamed of myself, I live in Milan and I haven&#39;t been in this Starbucks wow sorry","I'm so ashamed of myself, I live in Milan and I haven't been in this Starbucks wow sorry","TRUE","none","0","2019-03-08T20:33:15.000Z","2019-03-08T20:33:15.000Z","Ugz7sV_TUzH9pYAgcop4AaABAg",NA,NA
"Jemima Shahzad","https://yt3.ggpht.com/-a5wIhb2OyLo/AAAAAAAAAAI/AAAAAAAAAAA/0IkvuFZBP_0/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCfvn94vYU-b3Pne5cnnblNQ","UCfvn94vYU-b3Pne5cnnblNQ","jf0ZtZ8CVkk","Tbh I don’t get why ppl have hyped up Starbucks this much. The coffee tastes like just any other coffee, it’s not even worth the hype","Tbh I don’t get why ppl have hyped up Starbucks this much. The coffee tastes like just any other coffee, it’s not even worth the hype","TRUE","none","13","2019-03-08T20:00:34.000Z","2019-03-08T20:00:34.000Z","Ugy9HtMQrY64lCR_P0d4AaABAg",NA,NA
"<U+041D><U+0435><U+0434><U+044F><U+043B><U+043A><U+043E>","https://yt3.ggpht.com/-Hjz7WBmQ0bk/AAAAAAAAAAI/AAAAAAAAAAA/F5jB7oBlxfw/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCEZTvI7chyVWM7mTRjam4sQ","UCEZTvI7chyVWM7mTRjam4sQ","jf0ZtZ8CVkk","This  seem to be soo expensive!","This  seem to be soo expensive!","TRUE","none","23","2019-03-08T19:44:50.000Z","2019-03-08T19:44:50.000Z","Ugyy66WIxWuoBt28Hsx4AaABAg",NA,NA
"Songkok Tinggi","https://yt3.ggpht.com/-mTX96rWXbyg/AAAAAAAAAAI/AAAAAAAAAAA/kXzT8y6pKKk/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCRR42kSFXGp89YNbwreF0iQ","UCRR42kSFXGp89YNbwreF0iQ","jf0ZtZ8CVkk","Haha, the American are teaching the Italian how to serve and drink coffee properly.","Haha, the American are teaching the Italian how to serve and drink coffee properly.","TRUE","none","1","2019-03-08T19:37:05.000Z","2019-03-08T19:37:30.000Z","UgyhrZtcsgEZaP-7nEV4AaABAg",NA,NA
"Taekook Addicted","https://yt3.ggpht.com/-M_Kc3DsqIjM/AAAAAAAAAAI/AAAAAAAAAAA/OceLPhRbVU4/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCV6CO_OIv0JUmup_n5_zOcw","UCV6CO_OIv0JUmup_n5_zOcw","jf0ZtZ8CVkk","It&#39;s not Italy&#39;s only Starbucks, we have 4 including the roastery.","It's not Italy's only Starbucks, we have 4 including the roastery.","TRUE","none","10","2019-03-08T19:22:08.000Z","2019-03-08T19:22:08.000Z","UgwVlLq4-skFHJkgTIh4AaABAg",NA,NA
"big word","https://yt3.ggpht.com/-TScGNgDC60k/AAAAAAAAAAI/AAAAAAAAAAA/qlTGrqKJfHE/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCmJe2-A2PmIYwpbMJTbexPQ","UCmJe2-A2PmIYwpbMJTbexPQ","jf0ZtZ8CVkk","<b>*Hipsters with mac books and airpods want to know your location*</b>","**Hipsters with mac books and airpods want to know your location**","TRUE","none","245","2019-03-08T19:19:32.000Z","2019-03-08T19:19:32.000Z","UgxP_pHC_nL1mXjgjwd4AaABAg",NA,NA
"Narmi Ataf","https://yt3.ggpht.com/-nk3BzSbIPLo/AAAAAAAAAAI/AAAAAAAAAAA/lp6UUunxJ0M/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCEVeI0CWUuRhZk1-4ksGRkw","UCEVeI0CWUuRhZk1-4ksGRkw","jf0ZtZ8CVkk","The starbucks is amazing <U+0001F60D>","The starbucks is amazing <U+0001F60D>","TRUE","none","0","2019-03-08T19:13:04.000Z","2019-03-08T19:13:04.000Z","UgyOgIBFBRiKV-R8MRx4AaABAg",NA,NA
"dhruv jadhav","https://yt3.ggpht.com/-eHwmAYWTNX0/AAAAAAAAAAI/AAAAAAAAAAA/tIjhEcPIYf8/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCOSJgxU79PGJLcwbo1tZwxQ","UCOSJgxU79PGJLcwbo1tZwxQ","jf0ZtZ8CVkk","That is so beautiful  <U+2764>I definitely want to visit <U+0001F618><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F601><U+2764>","That is so beautiful  <U+2764>I definitely want to visit <U+0001F618><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F601><U+2764>","TRUE","none","2","2019-03-08T19:02:23.000Z","2019-03-08T19:02:23.000Z","UgymtaXro9cSww0L_Np4AaABAg",NA,NA
