id,title,publication_date,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,url
0-IDdUcF-hM,Giant Wine Bottle Can Fill 48 Glasses Of Wine,2018-07-23T16:00:00.000Z,15564,306,21,0,73,https://www.youtube.com/watch?v=0-IDdUcF-hM
05jOGEmriqo,We Tried A Boozy Golden Chocolate Bar,2018-02-25T15:00:00.000Z,2962677,32897,1781,0,5607,https://www.youtube.com/watch?v=05jOGEmriqo
0aoetundPAY,Deli Sandwich Weighs 6 Pounds | Jumbo Eats,2018-06-23T16:00:01.000Z,93062,1644,81,0,159,https://www.youtube.com/watch?v=0aoetundPAY
0ePTtiWUvIM,"How \Bracelet\"" Pasta Is Made""",2018-07-01T16:00:00.000Z,102009,1293,94,0,178,https://www.youtube.com/watch?v=0ePTtiWUvIM
0HOc_IieO4Y,Dessert Dumpling Wrapper Is Invisible,2018-09-05T16:00:00.000Z,47399,692,61,0,167,https://www.youtube.com/watch?v=0HOc_IieO4Y
0i5y1lgyl1k,Instagrammer uses coffee froth to make awesome 3D latte art,2017-04-19T15:43:13.000Z,3695,50,1,0,2,https://www.youtube.com/watch?v=0i5y1lgyl1k
0mDWp4ABBfk,This Cuban Sandwich Was Voted Best In The World,2018-06-07T16:00:01.000Z,186060,2677,107,0,338,https://www.youtube.com/watch?v=0mDWp4ABBfk
0oDTwE7BR7M,8 Places Every Mac 'N' Cheese Lover Needs To Go,2018-03-17T14:00:00.000Z,228483,3812,70,0,223,https://www.youtube.com/watch?v=0oDTwE7BR7M
0QSz9ZNRnhs,Food Truck Serves Cookie Dough 6 Different Ways,2018-10-06T16:00:01.000Z,173703,3416,108,0,326,https://www.youtube.com/watch?v=0QSz9ZNRnhs
0SPwwpruGIA,42 Foods You Need To Eat Before You Die,2018-12-08T17:00:01.000Z,10044593,153493,11431,0,20291,https://www.youtube.com/watch?v=0SPwwpruGIA
0vkYX93zo6U,We Tried Dunkin' Donuts' Donut Fries,2018-08-08T16:00:00.000Z,96235,1539,73,0,305,https://www.youtube.com/watch?v=0vkYX93zo6U
0wkLCaqP7bA,Food Trends That Will Blow Up In 2018,2018-01-08T16:00:01.000Z,1058306,11018,1192,0,1922,https://www.youtube.com/watch?v=0wkLCaqP7bA
1c4h788pROs,Dole Whip Soft Serve In A Tiny Pineapple,2017-10-30T21:00:00.000Z,5935,131,1,0,8,https://www.youtube.com/watch?v=1c4h788pROs
1cDeA0wloQg,Customizable Hot Chocolate Bar,2017-11-27T21:30:01.000Z,205354,2976,51,0,123,https://www.youtube.com/watch?v=1cDeA0wloQg
1FPD-pulZfU,We Did the One Chip Challenge,2017-11-06T22:30:01.000Z,47241,418,13,0,59,https://www.youtube.com/watch?v=1FPD-pulZfU
1hEAuCE3YFg,40 Pounds of Guacamole,2017-11-08T17:00:00.000Z,31912,284,5,0,33,https://www.youtube.com/watch?v=1hEAuCE3YFg
1I5fa2GVlLA,How Fresh Boba Tea Is Made,2018-09-09T20:00:00.000Z,1666739,26676,465,0,1207,https://www.youtube.com/watch?v=1I5fa2GVlLA
1jUTw071d5U,Crispy Indian Bread Puffs Up When Deep-Fried,2018-09-12T16:00:00.000Z,88549,1479,53,0,442,https://www.youtube.com/watch?v=1jUTw071d5U
1k6LstnYZBo,London Restaurant Only Sells Mac ‘N' Cheese — We Tried All 6 Flavors,2018-07-27T16:00:01.000Z,304004,4738,97,0,267,https://www.youtube.com/watch?v=1k6LstnYZBo
1o5LN1RNuyQ,"Food Truck Serves 3,000 Grilled Cheese Sandwiches A Day",2018-09-15T16:00:00.000Z,1875842,18980,911,0,2009,https://www.youtube.com/watch?v=1o5LN1RNuyQ
1oWL9gqI3Ic,We Tried To Finish The Biggest Burger In Europe,2018-02-10T15:00:00.000Z,3238323,23155,2542,0,3687,https://www.youtube.com/watch?v=1oWL9gqI3Ic
1oy7eXJpkdM,"Korean Steakhouse Holds 2,000 Pounds Of Beef",2017-11-25T13:00:00.000Z,13471,176,6,0,24,https://www.youtube.com/watch?v=1oy7eXJpkdM
1P71pPk_t2Y,Hot Chocolate Topped With A Giant Marshmallow,2017-12-27T19:00:00.000Z,148115,1722,26,0,133,https://www.youtube.com/watch?v=1P71pPk_t2Y
1VZdAU2oIrY,43 Outrageous Desserts You Need To Eat Before You Die,2019-01-10T17:00:01.000Z,7620916,142585,4300,0,12680,https://www.youtube.com/watch?v=1VZdAU2oIrY
1WvyO-lBO-A,We Tried Taco Bell's Limited-Edition Frose´,2018-07-10T16:00:00.000Z,28787,523,29,0,73,https://www.youtube.com/watch?v=1WvyO-lBO-A
24eymlJhPVY,Mountain Of Fries Served With Every Dish At Texan Restaurant,2018-05-12T20:00:02.000Z,835701,8699,421,0,1034,https://www.youtube.com/watch?v=24eymlJhPVY
2B171xDEXlU,Giant Sushi Doughnut Weighs Over 16 Pounds,2018-07-13T16:00:00.000Z,52591,998,78,0,196,https://www.youtube.com/watch?v=2B171xDEXlU
2FkKOoVGrTE,How Rice Cakes Covered In Peanuts and Black Sesame Seeds Are Made,2018-07-11T16:00:00.000Z,42927,757,32,0,81,https://www.youtube.com/watch?v=2FkKOoVGrTE
2GfJDsb1ZEY,Do Viral Pizzas Even Count As Real Pizza?,2018-12-28T17:00:00.000Z,81436,1153,234,0,249,https://www.youtube.com/watch?v=2GfJDsb1ZEY
2Ipj1tq4gPE,A dessert shop replaced the hot dogs in these buns with ice cream,2017-08-09T09:10:21.000Z,5129,90,2,0,4,https://www.youtube.com/watch?v=2Ipj1tq4gPE
2jcC0M3sFxI,The Best Barbacoa In LA Is Made In This Family's Backyard | Legendary Eats,2019-02-15T17:00:01.000Z,60065,1097,35,0,104,https://www.youtube.com/watch?v=2jcC0M3sFxI
2MCoqT9_PSY,Vegan Avocado Ice Cream Looks Like The Real Thing,2018-05-06T16:00:00.000Z,352589,5212,126,0,553,https://www.youtube.com/watch?v=2MCoqT9_PSY
2nyRxavcRWs,Florentine London Is Serving A Huge £55 Truffle Burger,2017-11-27T15:13:51.000Z,28709,372,11,0,22,https://www.youtube.com/watch?v=2nyRxavcRWs
2QImMl9coQ4,Eat Free And Endless Garlic Knots At This LA Restaurant,2018-12-16T17:00:01.000Z,264456,3839,118,0,330,https://www.youtube.com/watch?v=2QImMl9coQ4
2VLPbVl9pvQ,Dessert Disguised As Corn,2017-10-20T20:44:41.000Z,67271,457,12,0,44,https://www.youtube.com/watch?v=2VLPbVl9pvQ
2xZoWtXdNbs,Mini Japanese Sponge Cakes,2017-10-19T22:09:39.000Z,32868,286,8,0,29,https://www.youtube.com/watch?v=2xZoWtXdNbs
2ynoE4i78h8,Hawaiian-Style Doughnuts Made With Poi,2017-12-11T17:30:00.000Z,675123,5785,154,0,618,https://www.youtube.com/watch?v=2ynoE4i78h8
3_4pVjSgvUQ,M&M'S World Has The Biggest Chocolate Wall In NYC,2018-02-25T20:00:00.000Z,1813766,20817,400,0,1777,https://www.youtube.com/watch?v=3_4pVjSgvUQ
35Onk2bmpZc,How Fresh Burgers Are Made,2018-02-05T15:00:00.000Z,445890,3402,173,0,238,https://www.youtube.com/watch?v=35Onk2bmpZc
3A1WchsXIBY,How It's Like Eating Food In Space,2017-10-19T21:43:13.000Z,3148,33,1,0,4,https://www.youtube.com/watch?v=3A1WchsXIBY
3BfXc48bwpU,Why People Line Up For Hours To Get Into This All-Pink Café,2019-01-25T17:00:01.000Z,94847,1850,123,0,228,https://www.youtube.com/watch?v=3BfXc48bwpU
3nwwX-DEH1M,Why This Wagyu Sandwich Is Worth $85,2018-03-23T20:00:00.000Z,4341578,34164,3761,0,8595,https://www.youtube.com/watch?v=3nwwX-DEH1M
3ox_yJMxsTQ,"We Tried Spicy, Mouth-Numbing Stir Fry",2018-06-20T16:00:01.000Z,65806,869,29,0,99,https://www.youtube.com/watch?v=3ox_yJMxsTQ
3QwuJu86noc,Veal Parmesan Bigger Than Your Head,2017-12-21T21:30:01.000Z,48652,508,30,0,65,https://www.youtube.com/watch?v=3QwuJu86noc
3teXAYVAwGM,How Edelweiss Became LA's Most Iconic Chocolate Shop | Legendary Eats,2019-01-18T17:00:00.000Z,232292,4486,103,0,303,https://www.youtube.com/watch?v=3teXAYVAwGM
3Xdgz8NFhfU,"Doughnut, cake, and waffle hybrid served in egg cartons",2017-04-13T14:28:06.000Z,1145,13,0,0,1,https://www.youtube.com/watch?v=3Xdgz8NFhfU
3YKi3RZrXFM,Burger With 15 Patties Is Almost Impossible To Finish,2017-11-17T01:00:00.000Z,475069,4207,166,0,1056,https://www.youtube.com/watch?v=3YKi3RZrXFM
3ZMZsIn4B_U,Midwesterners Are Obsessed With This Chili Chain,2018-03-08T20:00:01.000Z,904248,7763,705,0,2211,https://www.youtube.com/watch?v=3ZMZsIn4B_U
49X-oTEbXqw,Why This Accountant Created His Own Vegan Chocolate Factory,2018-11-14T17:00:00.000Z,39606,657,23,0,90,https://www.youtube.com/watch?v=49X-oTEbXqw
4kA-Wx3t3GQ,Greek Restaurant Tops Pasta With Whole Lobster,2019-01-04T17:00:00.000Z,142617,1922,79,0,234,https://www.youtube.com/watch?v=4kA-Wx3t3GQ
4mpx_KOgx2k,Australian Chef Makes The Juiciest BBQ In Sydney,2018-11-07T17:00:00.000Z,389896,4228,187,0,497,https://www.youtube.com/watch?v=4mpx_KOgx2k
4mxwFL-YfHQ,Giant Pizza Burger Hybrid Weighs Over 40 Pounds,2018-10-03T16:00:00.000Z,50249,912,87,0,201,https://www.youtube.com/watch?v=4mxwFL-YfHQ
4OWyNhgCehA,If You Can Finish This Pho In 90 Minutes It's Free,2017-11-22T22:14:01.000Z,931047,8986,382,0,2453,https://www.youtube.com/watch?v=4OWyNhgCehA
4sgdkcjc4nA,The calorie-free vegan ‘raindrop cake’ has arrived in London – here's how it's made,2017-05-15T19:00:00.000Z,9220,116,8,0,5,https://www.youtube.com/watch?v=4sgdkcjc4nA
4WpEYYzY5lo,Hotel In NYC Harvests Honey,2017-10-20T20:28:09.000Z,41548,253,12,0,37,https://www.youtube.com/watch?v=4WpEYYzY5lo
5250fBztDqQ,Ice Cream Made With Whole Cakes And Cookies,2017-10-31T14:00:00.000Z,13143,204,3,0,10,https://www.youtube.com/watch?v=5250fBztDqQ
5cAKWLiJaIU,We Tried A Whole Fried Pig's Head,2018-06-24T16:00:01.000Z,71259,804,348,0,496,https://www.youtube.com/watch?v=5cAKWLiJaIU
5hdxQUAjo88,Incredibly Realistic Animal Cakes,2018-07-20T16:00:00.000Z,193558,2496,135,0,573,https://www.youtube.com/watch?v=5hdxQUAjo88
5vZ6vEAHGSc,Malaysian Burger Cooked In A Fried Egg,2017-10-19T22:07:15.000Z,89737,890,20,0,299,https://www.youtube.com/watch?v=5vZ6vEAHGSc
5xKVGL35pFc,How Fresh Butter Is Made,2017-12-26T19:30:02.000Z,1780855,13605,1111,0,1276,https://www.youtube.com/watch?v=5xKVGL35pFc
5zGHobU5lrs,Fried Mac 'N' Cheese Burger Buns,2017-11-06T23:00:00.000Z,14278,259,9,0,16,https://www.youtube.com/watch?v=5zGHobU5lrs
6-oWjTxIXFI,Steakhouse Chef Cooks Ribs That Weigh 15 Pounds,2017-11-06T18:30:01.000Z,3070,48,1,0,5,https://www.youtube.com/watch?v=6-oWjTxIXFI
67KSp9E5JRM,23-Layer Chocolate Cake At Michael Jordan's Restaurant,2017-10-18T21:15:47.000Z,581587,4193,65,0,695,https://www.youtube.com/watch?v=67KSp9E5JRM
6a8lxKiwacw,How To Make A Hyperrealistic Geode Cake,2018-11-19T17:00:01.000Z,67750,1320,36,0,128,https://www.youtube.com/watch?v=6a8lxKiwacw
6Apkla7F0xg,Las Vegas Bar Serves 100 Oz. Cocktail Bowls,2018-01-31T19:00:01.000Z,100998,869,29,0,90,https://www.youtube.com/watch?v=6Apkla7F0xg
6CNOU0Kiayo,Best Cheesecake In NYC | Which Is Better? Ep 5,2018-02-24T19:00:00.000Z,214821,2678,149,0,206,https://www.youtube.com/watch?v=6CNOU0Kiayo
6dWZTbKkF48,Burrito Inside A Quesadilla Is Stuffed With Flamin' Hot Cheetos,2017-11-02T11:00:01.000Z,10400,158,2,0,13,https://www.youtube.com/watch?v=6dWZTbKkF48
6Hg-OaCmG50,Ski Resort Melts Raclette Fireside,2018-01-24T15:00:01.000Z,86260,873,30,0,35,https://www.youtube.com/watch?v=6Hg-OaCmG50
6hLuEL_jwFo,Kim Kardashian's Favorite Pastry Chef Molds Chocolate Underwater,2018-03-21T14:00:00.000Z,990803,12549,376,0,1204,https://www.youtube.com/watch?v=6hLuEL_jwFo
6jcmavwU8mQ,Giant Foldover Stuffed With Cheese And Chocolate Sprinkles,2017-11-01T16:00:00.000Z,7706,134,7,0,31,https://www.youtube.com/watch?v=6jcmavwU8mQ
6KYUJxapTbs,Creative Chocolate Bars Made In Brooklyn,2017-11-17T23:00:00.000Z,7412,96,3,0,6,https://www.youtube.com/watch?v=6KYUJxapTbs
6oy8DjuIWoA,Giant Ravioli Is The Size Of 10 Regular Ravioli,2017-11-20T22:00:01.000Z,26457,258,12,0,28,https://www.youtube.com/watch?v=6oy8DjuIWoA
6qneo57M6Bs,Cajun Seafood Boil Cooked With Hawaiian Spices By Michelin Star Chef,2018-04-29T20:00:00.000Z,37486,607,27,0,113,https://www.youtube.com/watch?v=6qneo57M6Bs
6TluXwjUvkc,A London restaurant serves giant ostrich eggs,2017-06-20T16:14:37.000Z,49437,307,11,0,28,https://www.youtube.com/watch?v=6TluXwjUvkc
6Y1Mo9dIvfI,Candy Store Has Giant Versions Of Your Favorite Sweets,2017-11-26T22:30:00.000Z,14944,287,7,0,36,https://www.youtube.com/watch?v=6Y1Mo9dIvfI
6yhpzeA_FJY,Do Clams Belong On Pizza?,2018-12-18T17:00:01.000Z,49961,632,67,0,248,https://www.youtube.com/watch?v=6yhpzeA_FJY
73N6Nx59Iv0,Turkish Sandwich Stuffed With Fries,2018-02-12T19:00:01.000Z,248796,2839,173,0,543,https://www.youtube.com/watch?v=73N6Nx59Iv0
7KvxApUNgNk,Dominique Ansel Makes Octopus Corn Dogs,2019-02-23T17:00:01.000Z,99080,1323,87,0,232,https://www.youtube.com/watch?v=7KvxApUNgNk
87ddED3YCaU,French Chocolate Factory Is Praline Paradise,2018-05-07T16:00:01.000Z,82032,1134,40,0,96,https://www.youtube.com/watch?v=87ddED3YCaU
8BpAiAF5BbQ,Japanese Soufflé Pancakes Are Overflowing With Boba,2019-03-04T19:10:29.000Z,101503,2066,39,0,104,https://www.youtube.com/watch?v=8BpAiAF5BbQ
8dHZVaEBIA0,This Is Beer Ramen,2018-09-14T16:00:03.000Z,140529,1809,376,0,719,https://www.youtube.com/watch?v=8dHZVaEBIA0
8iQemq4g6t0,We Tried Southern BBQ With A NYC Twist,2018-11-13T17:00:00.000Z,113173,1603,67,0,209,https://www.youtube.com/watch?v=8iQemq4g6t0
8LWqBX1IFwI,Pressed Rice Cakes Are A Favorite Southeast Asian Dessert,2018-05-24T16:00:01.000Z,91065,972,65,0,200,https://www.youtube.com/watch?v=8LWqBX1IFwI
8LXA9EWZw48,Loaded Mac 'N' Cheese Skillets,2017-11-09T23:00:01.000Z,65135,951,8,0,19,https://www.youtube.com/watch?v=8LXA9EWZw48
8nbRjOv25Qk,Turkish Chef's Sandwiches And Burgers are Next Level,2017-11-01T00:00:00.000Z,50472,801,17,0,38,https://www.youtube.com/watch?v=8nbRjOv25Qk
93UNA6JeNgs,How Is McDonald's Different In Sweden?,2019-02-09T17:00:00.000Z,432346,5981,267,0,1363,https://www.youtube.com/watch?v=93UNA6JeNgs
9Im43d4PGA8,Learn The Secret To Making The Best Prime Rib,2018-11-02T16:00:02.000Z,45997,639,35,0,150,https://www.youtube.com/watch?v=9Im43d4PGA8
9Oovwt1axNc,Restaurant Hired Italian Moms To Make Home-Cooked Food,2018-11-06T17:00:02.000Z,46683,1152,25,0,68,https://www.youtube.com/watch?v=9Oovwt1axNc
9Pnj_E5XFG4,How The World’s First Burger Was Made At Louis’ Lunch | Legendary Eats,2019-01-07T17:00:01.000Z,591038,7130,585,0,1424,https://www.youtube.com/watch?v=9Pnj_E5XFG4
9s41fJ6d2oU,You can buy an Easter egg made entirely of cheese,2017-04-14T13:00:01.000Z,1734,9,1,0,1,https://www.youtube.com/watch?v=9s41fJ6d2oU
9sLfMwfUs4s,Customize Your Own Bloody Mary With 150 Pounds Of Bacon,2017-11-06T21:00:00.000Z,11777,63,8,0,16,https://www.youtube.com/watch?v=9sLfMwfUs4s
9uornf_I4so,LA Loves This Sourdough Bread — Why 400 Loaves Are Sold A Day,2018-08-05T16:00:00.000Z,53949,928,33,0,117,https://www.youtube.com/watch?v=9uornf_I4so
9ZkkbHW-Pgo,How McVitie's Chocolate Digestive Biscuits Are Made,2018-08-31T16:00:02.000Z,59181,902,24,0,131,https://www.youtube.com/watch?v=9ZkkbHW-Pgo
A-D-5TPE5cQ,How Traditional Turkish Ice Cream Is Made,2017-10-20T19:57:55.000Z,19414,258,8,0,32,https://www.youtube.com/watch?v=A-D-5TPE5cQ
a_3uT3f6yso,Juicy Texas BBQ Are Served By The Pound In LA Parking Lots,2018-05-22T16:00:01.000Z,77409,1001,25,0,76,https://www.youtube.com/watch?v=a_3uT3f6yso
a5cHbQEPT9M,Toronto's Most Famous Cookie Cakes,2018-03-28T16:00:00.000Z,575092,7619,172,0,454,https://www.youtube.com/watch?v=a5cHbQEPT9M
ACMxsPh8WUU,How Used Beer Grain Gets Turned Into Flour,2019-01-30T17:00:03.000Z,18504,403,13,0,44,https://www.youtube.com/watch?v=ACMxsPh8WUU
af-ixPsrPcE,Chick-Fil-A's Secret Menu: Buffalo Spicy Chicken Sandwich | Fast Food Secret Menus,2018-11-15T17:00:02.000Z,82718,1247,86,0,88,https://www.youtube.com/watch?v=af-ixPsrPcE
aFFQrVdQm2k,How The Best French Butter Is Made,2019-01-11T17:00:00.000Z,816608,8491,541,0,805,https://www.youtube.com/watch?v=aFFQrVdQm2k
aGMIguQTEsY,This Chef Made The Spicy Noodle Challenge Even Spicier,2017-10-27T21:00:01.000Z,910178,6377,160,0,726,https://www.youtube.com/watch?v=aGMIguQTEsY
aHw0zMfu6ZY,Fried Onion Is Covered In Cheese,2018-08-24T16:00:00.000Z,101026,1620,49,0,262,https://www.youtube.com/watch?v=aHw0zMfu6ZY
